TESE / DISSERTAÇÃO;TITULO DA REFERÊNCIA;LINK;STATUS LINK
D;Decreto de 7 de abril de 2006. (1) Declara de interesse público e social o acervo documental privado da Associação Brasileira de Educação;http://www.planalto.gov.br/ccivil_03/_Ato2004-2006/2006/Dnn/Dnn10813.htm;Erro
D;Decreto de 7 de abril de 2006. (2) Declara de interesse público e social o acervo documental privado da Companhia Antártica Paulista;http://www.planalto.gov.br/ccivil_03/_Ato2004-2006/2006/Dnn/Dnn10812.htm;Erro
D;Decreto de 7 de abril de 2006. (3) Declara de interesse público e social o acervo documental privado da Companhia Cervejaria Brahma;http://www.planalto.gov.br/ccivil_03/_Ato2004-2006/2006/Dnn/Dnn10814.htm;Erro
D;Decreto de 7 de abril de 2006. (4) Declara de interesse público e social o acervo documental privado de Glauber Rocha;http://www.planalto.gov.br/ccivil_03/_Ato2004-2006/2006/Dnn/Dnn10815.htm;Erro
D;Decreto nº 1.173, de 29 de junho de 1994. Dispõe sobre competência, organização e funcionamento do Conselho Nacional de Arquivos (Conarq) e do Sistema Nacional de Arquivos (Sinar) e dá outras providências;http://www.planalto.gov.br/ccivil_03/decreto/D1173.htm;Erro
D;Decreto nº 1.461, de 25 de abril de 1995. Altera o decreto nº 1.173, que dispõe sobre a competência, organização e funcionamento do Conselho Nacional de Arquivos e do Sistema Nacional de Arquivos;http://www.planalto.gov.br/ccivil_03/decreto/D1461.htm;Erro
D;Decreto nº 1.606 de 29 de dezembro de 1906. Coleção de Leis dos Estados Unidos do Brasil – 1906. Rio de Janeiro, v. 1.;https://www2.camara.leg.br/legin/fed/decret/1900-1909/decreto-1606-29-dezembro-1906-582057-publicacaooriginal-104760-pl.html;OK
D;Decreto nº 1.799, de 30 de janeiro de 1996. Regulamenta a Lei n° 5. 433, de 8 de maio de 1968, que regula a microfilmagem de documentos oficiais, e dá outras providências;http://www.planalto.gov.br/ccivil_03/decreto/Antigos/D1799.htm;Erro
T;Decreto nº 14.852, de 1 de junho de 1921. Modifica diversos artigos do regulamento do Arquivo Nacional;https://www2.camara.leg.br/legin/fed/decret/1920-1929/decreto-14852-1-junho-1921-505416-publicacaooriginal-1-pe.html;OK
T;Decreto nº 16.036, de 14 de Maio de 1923. Aprova o regulamento para o Arquivo Nacional;https://www2.camara.leg.br/legin/fed/decret/1920-1929/decreto-16036-14-maio-1923-517753-publicacaooriginal-1-pe.html;OK
T;Decreto nº 18.303, de 30 de junho de 1928. Torna aplicável ao arquivo nacional o disposto no artigo 153 do regulamento anexo ao Decreto nº 15670 de 1922;https://www2.camara.leg.br/legin/fed/decret/1920-1929/decreto-18303-30-junho-1928-506334-publicacaooriginal-1-pe.html;OK
D;Decreto nº 2.134, de 24 de janeiro de 1997. Regulamenta o art. 23 da Lei nº 8.159, de 8 de janeiro de 1991, que dispõe sobre a categoria dos documentos públicos sigilosos e o acesso a eles, e dá outras providências;http://www.planalto.gov.br/ccivil_03/decreto/D2134.htm;Erro
D;Decreto nº 2.182, de 20 de março de 1997. Estabelece normas para a transferência e o recolhimento de acervos arquivísticos públicos federais para o Arquivo Nacional;http://www.planalto.gov.br/ccivil_03/decreto/D2182.htm;Erro
T;Decreto nº 2.910, de 29 de dezembro de 1998. Estabelece normas para a salvaguarda de documentos, materiais, áreas, comunicações e sistemas de informação de natureza sigilosa, e dá outras providências.;http://www.planalto.gov.br/ccivil_03/decreto/D2910.htm;Erro
T;Decreto nº 27.583, de 14 de dezembro de 1949. Aprova o Regulamento para a Salvaguardas das Informações que interessam à Segurança Nacional;http://www.planalto.gov.br/ccivil_03/decreto/1930-1949/D27583.htm;Erro
D;Decreto nº 3.505, de 13 de junho de 2000. Institui a Política de Segurança da Informação nos órgãos e entidades da Administração Pública Federal;http://www.planalto.gov.br/ccivil_03/decreto/D3505.htm;Erro
D;Decreto nº 3.587, de 5 de setembro de 2000. Estabelece normas para a Infra-Estrutura de Chaves Públicas do Poder Executivo Federal - ICP-Gov, e dá outras providências;http://www.planalto.gov.br/ccivil_03/decreto/D3587.htm;Erro
D;Decreto nº 3.779, de 23 de março de 2001. Acresce dispositivo ao art. 1º do decreto nº  3.714, de 3 de janeiro de 2001  que dispõe sobre a remessa, por meio eletrônico, de documentos;http://www.planalto.gov.br/ccivil_03/decreto/2001/D3779.htm;Erro
T;Decreto nº 3.996, de 31 de outubro de 2001. Dispõe sobre a prestação de serviços de certificação digital no âmbito da Administração Pública Federal;http://www.planalto.gov.br/ccivil_03/decreto/2001/D3996.htm;Erro
T;Decreto nº 4.073, de 3 de janeiro de 2002. Regulamenta a Lei 8.159, de 8 de janeiro de 1991;http://www.planalto.gov.br/ccivil_03/decreto/2002/D4073.htm;Erro
T;Decreto nº 4.497, de 4 de dezembro de 2002. Altera o art. 17 do Decreto no 2.134, de 24 de janeiro de 1997, que dispõe sobre a categoria dos documentos públicos sigilosos e o acesso a eles, e dá outras providências;http://www.planalto.gov.br/ccivil_03/decreto/2002/D4497.htm;Erro
